id,CERTLEVP,PGMCIPAP,PGM_P034,PGM_P036,PGM_280A,PGM_280B,PGM_280C,PGM_280F,PGM_P401,STULOANS,DBTOTGRD,SCHOLARP,PREVLEVP,HLOSGRDP,GRADAGEP,GENDER2,CTZSHIPP,VISBMINP,DDIS_FL,PAR1GRD,PAR2GRD,BEF_P140,BEF_160,overqualified
4252,2.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,1.0,1.0,2.0,9.0,2.0,3.0,1.0,3.0,3.0,1
5554,1.0,4.0,1.0,6.0,9.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,9.0,1.0,3.0,1.0,3.0,2.0,0
5530,2.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,6.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1
726,2.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,,6.0,2.0,1.0,2.0,1.0,9.0,1.0,6.0,1.0,3.0,2.0,0
9790,3.0,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,9.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,,9.0,1.0,6.0,1
5095,1.0,8.0,1.0,6.0,6.0,2.0,2.0,9.0,1.0,9.0,6.0,6.0,9.0,1.0,2.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,99.0,0
6061,9.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,6.0,6.0,6.0,6.0,1.0,,1.0,4.0,2.0,2.0,9.0,9.0,3.0,2.0,1
8310,,4.0,2.0,4.0,,2.0,2.0,1.0,2.0,2.0,6.0,6.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,6.0,1
7565,2.0,8.0,1.0,6.0,1.0,1.0,2.0,2.0,9.0,9.0,0.0,6.0,6.0,9.0,1.0,2.0,1.0,2.0,2.0,,2.0,3.0,2.0,0
9087,2.0,8.0,1.0,6.0,,2.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,6.0,0
4371,2.0,4.0,1.0,6.0,2.0,2.0,6.0,9.0,1.0,1.0,6.0,6.0,1.0,2.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,0
4425,3.0,7.0,9.0,6.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,4.0,9.0,9.0,3.0,1.0,9.0,9.0,Without disability,9.0,9.0,9.0,99.0,0
4132,2.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,9.0,,6.0,,2.0,3.0,,1.0,2.0,2.0,2.0,1.0,3.0,6.0,0
101,1.0,2.0,1.0,6.0,6.0,2.0,2.0,1.0,2.0,,6.0,6.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,6.0,3.0,1.0,0
10960,,7.0,2.0,4.0,2.0,2.0,2.0,6.0,2.0,2.0,6.0,4.0,3.0,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,0
2484,1.0,10.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,99.0,1
1837,1.0,7.0,1.0,6.0,9.0,2.0,2.0,1.0,2.0,1.0,6.0,6.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,6.0,0
8627,9.0,8.0,1.0,6.0,2.0,9.0,2.0,1.0,1.0,2.0,4.0,6.0,6.0,2.0,1.0,2.0,9.0,9.0,2.0,1.0,1.0,3.0,1.0,1
8147,9.0,6.0,2.0,1.0,2.0,2.0,2.0,9.0,1.0,2.0,6.0,6.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,9.0,4.0,1
4997,3.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,9.0,6.0,6.0,,9.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1
4784,1.0,8.0,1.0,6.0,9.0,2.0,2.0,1.0,6.0,1.0,2.0,9.0,9.0,,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,6.0,1
8243,3.0,5.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1
3384,2.0,99.0,9.0,6.0,2.0,6.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,9.0,9.0,1.0,,0
7117,1.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,9.0,1.0,1.0,3.0,1
8236,2.0,9.0,1.0,6.0,2.0,2.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,0
11093,2.0,8.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,2.0,9.0,6.0,9.0,2.0,1.0,9.0,3.0,2.0,2.0,9.0,2.0,3.0,1.0,0
3387,,7.0,1.0,9.0,2.0,2.0,2.0,9.0,1.0,2.0,6.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,4.0,1
8066,4.0,5.0,1.0,6.0,2.0,6.0,2.0,6.0,1.0,1.0,6.0,6.0,9.0,1.0,3.0,2.0,2.0,Yes,2.0,9.0,9.0,9.0,6.0,0
6767,3.0,9.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,6.0,6.0,2.0,3.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1
6769,9.0,5.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,9.0,,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,0
5203,1.0,5.0,1.0,6.0,2.0,9.0,2.0,1.0,1.0,2.0,6.0,6.0,9.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,0
1330,2.0,4.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,6.0,0
9242,2.0,5.0,1.0,6.0,2.0,9.0,2.0,1.0,3.0,2.0,9.0,6.0,6.0,,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,99.0,1
6670,2.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,1.0,6.0,,2.0,2.0,2.0,1.0,1.0,9.0,2.0,,1.0,1.0,6.0,0
5372,1.0,9.0,,6.0,2.0,2.0,2.0,1.0,9.0,1.0,9.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1
4281,1.0,9.0,,9.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,6.0,1.0,6.0,1
1741,2.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,6.0,2.0,1.0,2.0,3.0,1.0,,3.0,2.0,4.0,2.0,1
10118,3.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,,6.0,2.0,2.0,3.0,2.0,2.0,3.0,Yes,2.0,1.0,1.0,3.0,1.0,1
4944,2.0,2.0,1.0,6.0,2.0,2.0,2.0,9.0,1.0,2.0,6.0,6.0,9.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,0
9035,2.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,0
4781,1.0,9.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,9.0,1.0,99.0,0
10633,2.0,5.0,,6.0,6.0,1.0,2.0,2.0,9.0,6.0,6.0,,3.0,3.0,1.0,2.0,2.0,1.0,2.0,,1.0,3.0,3.0,1
5423,9.0,,2.0,9.0,2.0,,6.0,2.0,3.0,1.0,6.0,6.0,9.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,0
4030,2.0,99.0,1.0,6.0,6.0,2.0,2.0,9.0,1.0,9.0,6.0,4.0,9.0,2.0,1.0,Female,4.0,1.0,1.0,3.0,6.0,3.0,3.0,0
3997,2.0,5.0,1.0,6.0,9.0,2.0,2.0,1.0,6.0,1.0,6.0,1.0,6.0,2.0,1.0,2.0,1.0,,1.0,6.0,1.0,3.0,,0
6497,3.0,9.0,2.0,1.0,2.0,2.0,6.0,,3.0,2.0,3.0,6.0,2.0,3.0,3.0,2.0,,2.0,1.0,1.0,,1.0,99.0,1
4813,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,,,,6.0,2.0,1.0,2.0,1.0,2.0,,1.0,9.0,3.0,5.0,0
3149,,8.0,,6.0,9.0,2.0,2.0,1.0,1.0,9.0,6.0,6.0,6.0,1.0,1.0,Male,2.0,1.0,2.0,1.0,9.0,1.0,6.0,0
4946,1.0,6.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0
2365,3.0,2.0,1.0,6.0,2.0,2.0,,1.0,1.0,1.0,6.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1
269,3.0,9.0,1.0,6.0,2.0,2.0,2.0,,1.0,9.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,6.0,,1.0,2.0,0
8072,2.0,10.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,0
12385,3.0,,1.0,6.0,2.0,2.0,,1.0,1.0,1.0,6.0,6.0,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,1
5555,1.0,7.0,1.0,6.0,9.0,2.0,,1.0,1.0,1.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,,6.0,1
5558,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,6.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,1
3006,2.0,,1.0,6.0,2.0,2.0,9.0,1.0,2.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,99.0,1
4488,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,6.0,,6.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,,6.0,0
11411,3.0,5.0,1.0,6.0,2.0,9.0,2.0,1.0,6.0,2.0,9.0,6.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,3.0,5.0,0
5263,3.0,6.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,3.0,0
11584,5.0,10.0,1.0,,9.0,6.0,2.0,1.0,1.0,1.0,3.0,6.0,9.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,6.0,1
7257,1.0,5.0,1.0,6.0,6.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,,2.0,1.0,3.0,1.0,2.0,,1.0,3.0,1.0,1
11686,3.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,,2.0,9.0,1.0,2.0,3.0,3.0,2.0,,2.0,2.0,1.0,9.0,1.0,6.0,1
12309,1.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,2.0,,2.0,,3.0,1.0,3.0,2.0,1
12213,1.0,8.0,1.0,,2.0,2.0,2.0,1.0,1.0,6.0,6.0,1.0,6.0,1.0,1.0,Male,1.0,2.0,,2.0,1.0,3.0,2.0,0
6089,3.0,6.0,1.0,6.0,9.0,2.0,2.0,1.0,6.0,2.0,6.0,2.0,9.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,6.0,1
2132,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,6.0,6.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,6.0,4.0,6.0,0
737,2.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,6.0,2.0,1.0,2.0,2.0,,2.0,6.0,1.0,3.0,2.0,0
10131,3.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,9.0,,2.0,1.0,6.0,3.0,2.0,0
9227,4.0,5.0,9.0,1.0,1.0,1.0,9.0,2.0,2.0,1.0,0.0,6.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,9.0,1.0,2.0,1
2331,3.0,10.0,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,2.0,3.0,2.0,2.0,9.0,Yes,Without disability,,1.0,3.0,,1
763,,10.0,1.0,6.0,2.0,1.0,9.0,9.0,2.0,1.0,2.0,3.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,0
1825,3.0,4.0,,6.0,6.0,2.0,2.0,1.0,3.0,9.0,6.0,6.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,6.0,0
8089,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,1.0,2.0,2.0,1.0,2.0,With disability,3.0,3.0,1.0,99.0,1
293,4.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,6.0,9.0,1.0,6.0,2.0,1.0,,,2.0,1.0,2.0,1.0,3.0,4.0,0
11247,2.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,,6.0,6.0,9.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,4.0,0
11753,2.0,5.0,1.0,,2.0,2.0,2.0,6.0,6.0,1.0,9.0,9.0,9.0,9.0,1.0,1.0,9.0,9.0,2.0,9.0,9.0,9.0,99.0,0
3375,1.0,8.0,9.0,6.0,2.0,2.0,2.0,6.0,1.0,,,1.0,9.0,,1.0,1.0,1.0,No,2.0,2.0,1.0,9.0,3.0,1
1957,2.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,6.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,0
11929,3.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,9.0,2.0,,1.0,Female,1.0,2.0,2.0,1.0,1.0,1.0,,1
10941,3.0,9.0,2.0,3.0,,2.0,2.0,1.0,6.0,1.0,9.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,0
8437,2.0,,1.0,6.0,2.0,2.0,9.0,1.0,3.0,2.0,6.0,6.0,6.0,2.0,1.0,1.0,9.0,1.0,,6.0,,3.0,1.0,1
8768,3.0,8.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,6.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,0
9861,3.0,5.0,2.0,,,1.0,2.0,2.0,1.0,9.0,6.0,6.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,6.0,1
5034,3.0,,2.0,1.0,2.0,2.0,2.0,9.0,2.0,2.0,6.0,6.0,2.0,3.0,4.0,1.0,9.0,2.0,2.0,1.0,1.0,1.0,6.0,1
3500,2.0,10.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,6.0,2.0,1.0,2.0,1.0,,2.0,2.0,1.0,3.0,6.0,0
3397,3.0,5.0,1.0,,,,2.0,1.0,1.0,6.0,,6.0,2.0,3.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,9.0,1.0,0
639,2.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,0
3005,2.0,99.0,1.0,6.0,1.0,2.0,1.0,2.0,6.0,2.0,6.0,3.0,6.0,2.0,1.0,Male,1.0,2.0,2.0,2.0,1.0,3.0,2.0,0
7058,1.0,99.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,1.0,,6.0,6.0,1.0,3.0,2.0,1.0,9.0,2.0,1.0,2.0,1.0,6.0,1
11762,1.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,,6.0,6.0,1.0,,2.0,1.0,2.0,1.0,3.0,1.0,,2.0,0
866,3.0,5.0,2.0,3.0,2.0,,2.0,,1.0,6.0,6.0,6.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,6.0,1.0,3.0,99.0,1
5192,2.0,8.0,1.0,9.0,2.0,,2.0,1.0,6.0,1.0,9.0,6.0,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,3.0,1.0,0
2812,9.0,8.0,1.0,,6.0,2.0,2.0,9.0,2.0,1.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,0
2909,2.0,,1.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,6.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,,0
103,2.0,5.0,1.0,6.0,6.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,99.0,0
3004,9.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,2.0,2.0,1.0,Female,1.0,No,2.0,1.0,1.0,3.0,,0
11228,3.0,1.0,2.0,1.0,2.0,,2.0,,3.0,1.0,6.0,9.0,,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1
8478,3.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,2.0,6.0,9.0,6.0,3.0,,2.0,1.0,2.0,2.0,3.0,1.0,1.0,6.0,0
9448,5.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,,2.0,9.0,6.0,2.0,1.0,Male,1.0,2.0,2.0,9.0,6.0,1.0,3.0,0
679,2.0,6.0,1.0,9.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,6.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,1
9273,2.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,1.0,0
391,2.0,2.0,1.0,6.0,2.0,6.0,2.0,,9.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,0
8443,2.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,0
7462,1.0,5.0,1.0,9.0,2.0,9.0,2.0,1.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,9.0,1.0,2.0,1.0,9.0,1.0,6.0,0
4675,1.0,99.0,1.0,6.0,2.0,2.0,2.0,2.0,,9.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1
5345,3.0,5.0,2.0,6.0,2.0,1.0,2.0,,1.0,1.0,6.0,9.0,3.0,3.0,3.0,1.0,2.0,1.0,Without disability,3.0,1.0,1.0,3.0,1
3446,1.0,5.0,9.0,6.0,6.0,2.0,2.0,1.0,1.0,2.0,9.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,6.0,2.0,4.0,1
9907,2.0,5.0,2.0,9.0,2.0,2.0,9.0,1.0,2.0,9.0,6.0,6.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,0
5515,2.0,5.0,1.0,9.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,9.0,2.0,1.0,,1.0,No,1.0,2.0,2.0,,,0
10177,3.0,6.0,1.0,6.0,1.0,9.0,2.0,2.0,6.0,6.0,6.0,6.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,3.0,4.0,0
509,9.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,,6.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,0
11524,5.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,6.0,2.0,3.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1
4313,3.0,4.0,1.0,6.0,9.0,,2.0,1.0,9.0,1.0,6.0,6.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,3.0,6.0,1
12033,1.0,5.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,2.0,6.0,6.0,9.0,9.0,1.0,2.0,9.0,9.0,2.0,9.0,9.0,9.0,99.0,1
2255,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,6.0,1.0,,0
5073,3.0,4.0,2.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,4.0,0
12375,2.0,8.0,9.0,6.0,2.0,9.0,2.0,1.0,3.0,2.0,6.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,6.0,1
2226,,8.0,9.0,6.0,2.0,2.0,2.0,6.0,2.0,,6.0,1.0,6.0,1.0,1.0,Female,1.0,9.0,1.0,2.0,9.0,3.0,2.0,0
5487,2.0,6.0,1.0,6.0,2.0,2.0,2.0,,1.0,2.0,6.0,,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,3.0,0
3398,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,6.0,,7.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1
7621,1.0,5.0,1.0,6.0,2.0,2.0,2.0,6.0,1.0,2.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,6.0,0
4360,2.0,8.0,1.0,,1.0,2.0,2.0,2.0,,6.0,,2.0,9.0,9.0,2.0,1.0,9.0,9.0,2.0,9.0,9.0,,99.0,0
6781,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,9.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1
10200,1.0,10.0,2.0,4.0,2.0,,2.0,1.0,1.0,1.0,9.0,,2.0,2.0,,2.0,1.0,2.0,1.0,6.0,2.0,4.0,6.0,0
5457,,4.0,1.0,6.0,2.0,9.0,1.0,2.0,1.0,2.0,6.0,1.0,3.0,3.0,,2.0,1.0,Yes,2.0,1.0,9.0,1.0,,0
738,2.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,9.0,6.0,2.0,1.0,3.0,1.0,2.0,2.0,9.0,9.0,3.0,5.0,1
4295,4.0,5.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,1.0,0.0,2.0,6.0,,1.0,2.0,,2.0,2.0,1.0,6.0,3.0,3.0,0
4491,1.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,,,1.0,1.0,1.0,No,2.0,3.0,3.0,3.0,3.0,1
334,3.0,5.0,1.0,6.0,,2.0,2.0,1.0,,1.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,2.0,1
11052,1.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,1.0,6.0,6.0,,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,0
10899,3.0,9.0,,6.0,2.0,2.0,6.0,9.0,3.0,1.0,6.0,6.0,,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,0
1084,1.0,4.0,,6.0,2.0,2.0,2.0,9.0,1.0,2.0,9.0,6.0,9.0,1.0,3.0,Female,3.0,1.0,2.0,3.0,3.0,3.0,99.0,0
3842,2.0,5.0,1.0,9.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,6.0,2.0,2.0,Male,1.0,2.0,2.0,3.0,3.0,3.0,6.0,0
10090,1.0,,1.0,,2.0,2.0,2.0,,1.0,6.0,6.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,3.0,5.0,0
4136,2.0,5.0,2.0,1.0,2.0,,9.0,1.0,2.0,2.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,6.0,0
9912,1.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,6.0,2.0,9.0,4.0,1.0,1.0,9.0,2.0,3.0,3.0,1.0,6.0,0
9620,9.0,6.0,1.0,6.0,2.0,2.0,2.0,9.0,3.0,1.0,6.0,2.0,6.0,1.0,1.0,2.0,9.0,1.0,1.0,3.0,,1.0,5.0,1
3017,1.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0
5439,2.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,3.0,4.0,1
11618,2.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,2.0,6.0,6.0,6.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,9.0,5.0,1.0,0
9476,3.0,9.0,1.0,9.0,2.0,2.0,2.0,1.0,9.0,1.0,3.0,6.0,2.0,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,99.0,1
5889,3.0,4.0,1.0,6.0,6.0,,2.0,2.0,1.0,6.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,,2.0,1.0,1.0,3.0,2.0,0
10711,3.0,8.0,1.0,6.0,2.0,9.0,2.0,2.0,1.0,1.0,6.0,6.0,3.0,9.0,3.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,6.0,1
11986,,6.0,1.0,6.0,2.0,,2.0,1.0,9.0,1.0,6.0,1.0,,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,2.0,0
9391,2.0,99.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0
11705,3.0,9.0,9.0,6.0,6.0,2.0,6.0,1.0,3.0,,9.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,9.0,1.0,1.0,6.0,0
549,2.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0,,6.0,0
8376,2.0,10.0,1.0,6.0,2.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,2.0,1.0,2.0,1.0,9.0,2.0,2.0,2.0,3.0,3.0,0
